#;LINEARobjectID;LCtype  ;  P;A;mmed;stdev;rms;Lchi2pdf;nObs;skew;kurt;LR;CUF;t2;t3
;2522;5;0.238812;0.68;17;0.22;0.25;0.543;225;0.75;0.11;0.317;1;0;0
;4822;5;0.403043;0.32;14.19;0.11;0.12;2.102;126;0.46;-0.89;1.868;1;0;0
;17249;5;0.252815;0.57;16.16;0.18;0.19;0.876;178;1.16;0.44;0.584;1;0;0
;18469;5;0.428962;0.46;14.17;0.16;0.2;2.501;200;0.7;-0.59;2.32;1;0;0
;28800;5;0.332774;0.28;15.31;0.11;0.11;1.214;240;1.84;7.94;0.96;1;0;0
;29848;1;0.557009;0.62;16.37;0.21;0.26;1.223;301;-0.31;-0.57;0.9;1;0;0
;31825;1;0.463628;0.79;16.95;0.25;0.27;0.834;289;-0.25;-0.12;0.484;1;0;0
;32086;1;0.569258;0.71;15.02;0.22;0.29;2.369;289;-0.49;-1;2.117;1;0;0
;41937;5;0.261539;0.42;15.84;0.14;0.17;1.052;252;0.4;-0.77;0.872;1;0;0
;43542;1;0.245818;0.6;16.14;0.18;0.22;1.167;245;-0.05;-0.45;0.782;3;0;0
;44914;5;0.236603;0.66;14.62;0.22;0.25;2.22;258;0.86;-0.47;2.034;1;0;0
;45831;4;0.645294;0.34;14.41;0.12;0.13;1.844;195;1.28;0.78;1.569;2;5;0
;50402;1;0.643293;0.49;16.46;0.15;0.18;0.78;284;-0.29;-0.88;0.501;2;11;0
;51570;5;0.629213;0.56;15.28;0.21;0.15;1.576;254;3.93;29.28;1.264;1;0;0
;51934;5;0.244835;0.67;16.3;0.23;0.3;1.153;227;0.65;-0.73;0.946;1;0;0
;56340;5;0.324801;0.4;16.22;0.13;0.16;0.731;275;0.73;-0.37;0.516;1;0;0
;60758;5;0.295669;0.41;16.31;0.14;0.17;0.63;295;0.53;-0.37;0.474;1;0;0
;61011;1;0.662369;0.7;14.08;0.23;0.3;2.858;274;-0.03;-1.06;2.694;1;0;0
;62217;5;0.253626;0.54;15.77;0.19;0.23;1.341;266;1.16;2.6;1.134;1;0;0
;62758;5;0.418112;0.63;16.04;0.19;0.19;1.086;276;1.37;1.28;0.788;1;0;0
;62892;1;0.530772;0.62;16.54;0.2;0.24;1.081;276;-0.55;-0.32;0.785;1;0;0
;71063;5;0.437878;0.47;14.79;0.16;0.2;1.819;215;0.64;-0.87;1.671;1;0;0
;74545;5;0.344574;0.41;15.07;0.13;0.16;1.46;192;0.72;-0.69;1.248;1;0;0
;89711;4;0.551155;0.49;16.65;0.16;0.16;0.507;254;1.57;2.86;0.245;1;0;0
;91437;1;0.674728;0.75;15.39;0.23;0.27;1.993;177;-0.12;-0.93;1.717;1;0;0
;92599;5;0.359635;0.44;14.35;0.13;0.15;2.114;162;0.39;-0.82;1.877;1;0;0
;92986;4;0.664411;0.3;14.84;0.12;0.06;1.464;289;3.69;14.56;0.419;2;3;0
;95250;2;0.313869;0.55;16.98;0.18;0.22;0.732;222;0.14;-0.65;0.434;1;0;0
;98679;4;0.221872;0.38;15.8;0.12;0.1;0.91;300;2.85;12.18;0.422;1;0;0
;104455;1;0.558518;0.86;16.88;0.26;0.24;0.663;119;-0.34;-0.13;0.376;1;0;0
;105039;1;0.608458;0.84;15.18;0.27;0.34;2.589;276;-0.78;-0.67;2.24;1;0;0
;108513;1;0.473809;0.85;16.69;0.26;0.21;1.433;282;-1.17;1.16;0.873;2;0;0
;110206;4;0.516572;0.94;16.7;0.29;0.16;0.854;242;1.87;4.31;0.355;1;0;0
;110587;5;0.383937;0.32;16.21;0.11;0.12;0.6;273;0.91;2.41;0.347;1;0;0
;114416;5;0.307679;0.49;16.27;0.16;0.19;0.966;279;0.83;0.01;0.631;1;0;0
;120165;1;0.521433;0.6;14.05;0.2;0.16;2.625;69;-1.09;1.14;2.232;1;0;0
;124162;5;0.265584;0.48;16.32;0.16;0.2;0.781;214;0.65;-0.51;0.566;1;0;0
;124320;5;0.312524;0.79;15.66;0.27;0.3;1.739;293;0.92;-0.1;1.505;1;0;0
;124419;5;0.32946;0.6;16.33;0.21;0.26;1.112;282;0.65;-0.4;0.883;1;0;0
;133089;5;0.396729;0.32;16.13;0.11;0.13;0.638;280;-0.13;0.9;0.245;1;0;0
;135048;1;0.546817;1.02;16.63;0.33;0.33;1.422;232;-0.34;1.13;0.966;1;0;0
;136668;1;0.532921;0.91;16.73;0.29;0.31;1.259;310;-0.14;0.31;0.885;1;0;0
;136986;4;0.602168;0.4;15.97;0.14;0.1;0.827;228;2.42;6.27;0.234;1;0;0
;141414;2;0.335691;0.48;16.25;0.16;0.22;0.885;278;0.29;-1.21;0.745;1;0;0
;142124;5;0.275377;0.56;15.5;0.19;0.24;1.55;317;0.65;-0.8;1.358;1;0;0
;142794;1;0.470789;0.77;16.37;0.27;0.38;1.388;270;-0.15;-1.27;1.216;1;0;0
;146540;5;0.319808;0.35;16.13;0.11;0.11;0.478;151;0.93;0.16;0.158;2;4;0
;147242;5;0.29037;0.53;16.33;0.17;0.2;0.761;276;0.85;-0.13;0.537;1;0;0
;154606;4;1.073411;0.67;16.29;0.21;0.12;0.723;281;2.53;6.57;0.195;2;5;0
;158779;1;0.609197;0.47;15.42;0.15;0.18;1.596;293;-0.52;-0.61;1.328;1;0;0
;161865;5;0.323656;0.41;15.28;0.14;0.17;1.415;298;1.43;2.88;1.196;1;0;0
;162255;1;0.512744;0.92;15.93;0.28;0.26;2.017;266;-0.88;-0.09;1.578;1;0;0
